OriginalStatements,ExplainedStatements
"After the stealth virus infects the tumour, it replicates, but the copies do not have the chemical modifications.","The sneaky virus quietly spreads through the harmful lump in the body, making lots of copies of itself quickly. But even though it multiplies fast, the new virus copies don't have the same special chemical changes as the first one. So, because these changes are missing, the virus might not be as good at hiding from the body's defense system. This problem means that scientists now have to work hard to make sure these special changes stay the same when the virus copies itself, to make the virus better at fighting the bad cells in the body."
"Two viruses are likely to be examined in the first clinical trials: adenovirus, which normally causes a cold-like illness, and vaccinia, which causes cowpox and is also used in the vaccine against smallpox.","First, two different viruses are expected to be closely studied in the first medical tests. In particular, the well-known adenovirus, which usually brings on mild, cold symptoms, will be looked into. At the same time, the important vaccinia virus, which not only leads to the uncommon cowpox sickness but is also used as the main part in the effective shot that protects against the once-widespread and harmful smallpox, will be tested in the same strict way. Looking at both viruses together will help us fully understand how they act and their chances of being used in vaccines. Also, what we learn from these tests could lead to new treatments and ways to prevent diseases, and this could be a big step forward in studying viruses and keeping people healthy."
"For years European economies had been lagging dismally behind America (to say nothing of Asia), but in 2006 the large continental economies had one of their best years for a decade, briefly outstripping America in terms of growth.","For many years, the once lively European economies were falling behind the active, growing American economy—and also behind the quickly growing, very strong economies of Asia. But in 2006, a big change happened. The big, important economies in Europe had one of their strongest and most amazing years in ten years. As a result, this comeback led to an important event where they for a short time grew faster than the very strong American economy. This surprising change showed a comeback of European economic power and pointed out the repeating pattern of which part of the world's economy is on top."
"Every four or five years, European countries take a large stride towards further integration by signing a new treaty: the Maastricht treaty in 1992, the Treaty of Amsterdam in 1997, the Treaty of Nice in 2001.","Every few years, European countries make a big, careful step toward working together more in politics and money matters. This usually means agreeing to a new, important agreement. For example, the big change brought by the Maastricht Treaty in 1992 was a key time for Europe, as it started the European Union and the euro. After that, the forward-thinking Amsterdam Treaty in 1997 kept things moving by trying to make the EU work better and act more as one. Also, the smart Nice Treaty in 2001 was set up to change how the EU is run so it can handle the growth and new challenges that come with more countries joining. All these agreements show that European countries are really dedicated to working together as a stronger group in the world."
"And in 2005 they were supposed to ratify a European constitution, laying the ground for yet more integration until the calm rhythm was rudely shattered by French and Dutch voters.","In 2005, the European Union was ready for a big change, as countries were about to officially agree to a detailed European rulebook. This important paper was meant to prepare for even closer working together in politics and business, showing the start of a new time of togetherness and teamwork. But, even though people thought things would go well, the smooth and friendly move toward working together was suddenly and surprisingly broken. In a surprising twist, not many saw coming, the rulebook was turned down by voters in France and the Netherlands, making people question what would happen next with Europe being together. This rejection was like a big wave hitting the whole area, making leaders and those who make laws think again about how to move forward and deal with the tricky issues of how people feel and each country's power within the bigger plan for Europe."
"Government leaders have already agreed to celebrate it ceremoniously, restating their commitment to 'ever closer union' and the basic ideals of European unity.","Powerful government bosses all together decided to make a big deal out of the special event. As a result, they strongly repeated their steady promise to the idea of working more closely together. Also, saying it again highlights how much they care about the basic beliefs of working as one in Europe, which is the main support for their team work."
But it does not take a Machiavelli to spot that once governments have signed the declaration (and it seems unlikely anyone would be so uncollegiate as to veto it) they will already be halfway towards committing themselves to a new treaty.,"Even so, you don't need the clever thinking of someone like Machiavelli to see that once countries sign the agreement—and it seems very unlikely that any country would refuse to agree—they will have taken a big and almost unchangeable step towards agreeing to follow the rules of a new worldwide agreement. As a result, signing isn't just for show; it's a serious promise. By signing, countries show they are ready to follow the agreement's rules, and they start preparing for the changes in laws and policies they'll need to make to do what the agreement asks. This promise can lead to big changes in a country's independence and how countries work together around the world. So, while the first signature might look like just a simple action, it's really the start of a chain of events that could change the way countries work together and the rules they follow."
"Neoclassical economics is built on the assumption that humans are rational beings who have a clear idea of their best interests and strive to extract maximum benefit (or 'utility', in economist-speak) from any situation.","Economics that focus on the idea that people always make smart choices is based on the belief that everyone knows exactly what's best for them. So, it's thought that people always try to get the most benefit possible from any situation. Also, this way of thinking suggests that people's choices are always in line with what they want and what they can or can't do.

But, some new ideas in economics say that people don't always make choices that seem smart. This new area, called behavioral economics, says that how people think and feel can really change the choices they make. This means that sometimes people might choose things that don't seem to be the best for them, unlike what the older economic ideas say.

Also, real life can be complicated, and people don't always have all the information they need. This can lead to choices that are different from the smartest possible choice in the old economic thinking. Even though people have questioned these old ideas, they are still very important and help a lot with understanding economics and making policies today."
"According to the German government which holds the EU's agenda-setting presidency during the first half of 2007, there will be a new draft of a slimmed-down constitution ready by the middle of the year, perhaps to put to voters, perhaps not.","The powerful German government, which stubbornly controls the EU's key plans for making laws during the very important first half of 2007, says that by mid-year, there will be a new, simpler version of the constitution that has been put together with great care. As a result, this new version might be shown to the people who vote; but it's not sure if this will happen. If the constitution is shown to the people who vote, it might make it seem more rightful and in line with the people's choice. But, because French and Dutch voters said no to it in 2005, there might be a more careful way of doing things, maybe by getting it approved by each country's lawmakers instead."
"Then, according to bureaucratic planners in Brussels and Berlin, blithely ignoring the possibility of public rejection, the whole thing will be signed, sealed and a new constitution delivered in 2009-10.","Later on, the too-sure government officials in Brussels and Berlin, who are carelessly not paying attention to the strong chance that people might strongly say no, plan to quickly finalize the whole detailed deal. As a result, after it's formally completed, this will create a path for a complete new set of important laws that they hope to proudly introduce between 2009 and 2010. But, this schedule depends on the belief that all the countries involved will easily accept the proposed conditions, which is something that political experts are really arguing about."
"UK and Australian health agencies have released information about 240 cases of odd occurrences, including sleepwalking, amnesia and hallucinations among people taking the drug zolpidem.","Recently, health groups from the UK and Australia have shared a lot of information about 240 strange and worrying cases. These cases stand out because they include odd things happening, like walking in one's sleep, forgetting things, and seeing things that aren't there. Also, these problems have been seen in people who take the common sleep medicine zolpidem. Because of this, doctors are now talking about how safe this medicine is and what its side effects are. After learning about these issues, medical experts want to look really carefully at how this medicine should be used to make sure people who take it are safe. On top of that, this situation really shows why it's important to keep an eye on and tell others about any bad effects from medicines, as this can lead to big changes in how medicines are controlled and how we take care of people who need them."
"While doctors say that zolpidem can offer much-needed relief for people with sleep disorders, they caution that these newly reported cases should prompt a closer look at its possible side effects.","Doctors say that zolpidem can really help people who have a hard time sleeping because of their sleep problems. But they also tell people to be careful and point out that these new reports should make us look more closely at the bad side effects it might have. Also, they think this close look is very important to make sure the good things about zolpidem are better than the bad things for people using it. Because of this, medical workers might have to think more about each person's own situation and health when they give out this medicine. In the end, this fair way of seeing things could make treatments safer and work better for those who have sleep problems."
"The newly reported cases in the UK and Australia add to a growing list of bizarre sleepwalking episodes linked to the drug in other countries, including reports of people sleep-driving while on the medication.","So, because of this, the fresh cases in the UK and Australia join a growing number of confusing and risky incidents of sleepwalking linked to the medicine seen in other places. Also, there have been scary stories of people driving while asleep after taking the drug, which really highlights the possible dangers. This repeating series of events has led health professionals to examine the drug's side effects more carefully. Because of this, the organizations that make sure drugs are safe now have to deal with the tough task of weighing the good effects of the medicine against its apparently random and dangerous outcomes."
The drug is a benzodiazepine-like hypnotic that promotes deep sleep by interacting with brain receptors for a chemical called gamma-aminobutyric acid.,"This medicine is a strong sleep-inducing drug similar to benzodiazepines and helps you sleep deeply for a long time. It works by carefully connecting with certain parts in the brain that respond to a calming chemical that the brain makes on its own, called GABA. As a result, the medicine copies what GABA does, increasing the calming effect on the body's nerves, which helps you sleep well. Also, because it specifically aims at certain parts of the brain, the medicine lowers the chance of unwanted effects that often happen with other sleep medicines. This makes it a favorite choice for people who have trouble sleeping."
"The product information for prescribers advises that psychiatric adverse effects, including hallucinations, sleepwalking and nightmares, are more likely in the elderly, and treatment should be stopped if they occur.","Doctors who give out medicine should be very careful and pay close attention to the detailed information that warns about bad mental side effects, especially strong and clear dreams, sleepwalking that causes problems, and very upsetting bad dreams, which are more common in older people. Because of this, the advice strongly says to stop the medicine right away if these worrying signs show up. Also, the advice tells doctors to keep a close eye on patients, especially those who might be more at risk, to make sure any bad reactions are noticed quickly. Taking steps before problems happen is very important because it can lessen the chance of getting hurt and change the treatment to fit what each person needs. With this in mind, doctors are told to watch carefully and talk a lot with their patients about the good and bad things about the medicine they are given."
Patient advocacy groups say they would like government health agencies and drug companies to take a closer look at the possible risks associated with sleep medicines.,"Patient support groups say they really want health organizations and medicine makers to look more carefully and seriously at the possible dangers of sleep pills. They also say that paying close attention to these risks is very important to keep patients safe and to make people trust the health system. As a result, they are calling for more openness about the negative reactions and lasting effects of these medicines. They also suggest that stronger rules could help create safer treatment options. In the end, by putting patients first and checking things carefully, the health business can do a better job of keeping people safe from unexpected problems with sleep pills."
"Millions of people have taken the drug without experiencing any strange side effects, points out Richard Millman at Brown Medical School, director of the Sleep Disorders Center of Lifespan Hospitals in Providence, Rhode Island, US.","Many people have taken the popular medicine and did not experience any strange or surprising bad reactions. As a result, Dr. Richard Millman, a well-known sleep expert who runs the famous Sleep Disorders Center at Lifespan Hospitals in the busy city of Providence, Rhode Island, emphasizes how safe the medicine is. Also, his support is very important in the world of doctors because he knows a lot and is very important in making sleep medicine better. So, both patients and doctors can trust that the medicine is reliable, which helps everyone feel more confident about using it."
"The Guardian has learned that the FSA will launch a series of 10-second television adverts in January telling shoppers how to follow a red, amber and green traffic light labelling system on the front of food packs, which is designed to tackle Britain's obesity epidemic.","The well-known news source, The Guardian, has found out something important that no one else knows about yet. It's about how to tell people important health information. The Food Standards Agency (FSA) plans to show everyone, starting in January, a powerful set of short, 10-second ads on TV. These ads have one main goal: to teach people how to quickly understand the red, yellow, and green color system on food packages that you can see right away. Also, this project has been carefully made to fight the growing problem of too many people in Britain being overweight. By doing this, the FSA wants to give people the information they need to pick healthier foods, which will help solve a big health problem."
"The industry is planning a major marketing campaign for a competing labelling system which avoids colour-coding in favour of information about the percentage of ""guideline daily amounts"" (GDAs) of fat, salt and sugar contained in their products.","The industry is carefully creating a big, powerful advertising plan for a complex, different way of putting information on products. In a surprising move, this plan purposely stays away from easy-to-understand color signs. Instead, it prefers to give very specific numbers. It pays special attention to the exact share of ""daily recommended amounts"" (GDAs) of fat, salt, and sugar in their products. As a result, this strategy wants to give shoppers clearer facts, helping them choose better what they eat and drink. But it's not clear yet if this way will be as easy for shoppers to use as the color signs they already know well."
"Sources at the TV regulators are braced for a legal challenge from the industry and have described the lobbying efforts to block any new ad ban or colour-coded labelling as ""the most ferocious we've ever experienced"".","People who work for the TV rule-makers say that they are getting ready for a big legal fight from the TV companies. These companies are trying very hard to stop any new rules that would stop certain ads or make them use easy-to-understand health labels. These efforts are being called the most intense and non-stop that the rule-makers have ever seen. Because of this, the rule-makers are in a tough spot since they have to think about what's good for people's health and also the strong effect of the TV companies. Even with this pressure, the rule-makers really want to stick to their job of keeping customers safe, which might lead to a big argument in court. With all that's happening, it's clear that the result of this fight could change the rules about ads and health projects a lot."
"The FSA is understood to have briefed its ad agency, United, before Christmas, and will aim to air ads that are ""non-confrontational, humorous and factual"" as a counterweight to industry's efforts about the same time.","The FSA, knowing when the best time is, made sure to give all the necessary information to its smart ad agency, United, way before the fun Christmas time. Because of this, the agency is now ready to make an ad that will get noticed when people are getting a lot of ads. The FSA really wants to make ads that are gentle, aim to be ""not too in-your-face, done in a smart and funny way, and always tell the truth."" They plan to do this in a smart way to offset the strong ad push that usually happens at this time. By doing this, the FSA wants to connect with people in a way that they'll remember and that works well, without using the pushy methods that other companies often use when everyone is in a hurry during the holidays."
"Ehrlich's model shows that whilst most of these oscillations cancel each other out, some reinforce one another and become long-lived temperature variations.","Ehrlich's detailed plan shows that even though most of these back-and-forth movements cancel each other out, some work together to make each other stronger. As a result, these movements change over time into big, important changes in temperature that last a long time. This event hints that in the messy mix of air movements, there are hidden designs that, if they match up, can cause big and long-term changes in the weather. So, knowing these designs is very important to guess what the weather will be like in the future and to get ready for what might happen."
"For example, if sea ice begins to form because of a slight cooling, carbon dioxide that would otherwise have found its way into the atmosphere as part of the carbon cycle is locked into the ice.","For example, if a lot of sea ice starts to form because of a small but important drop in temperature, the carbon dioxide that would usually go into the air as an important part of the earth's carbon circle gets stuck in the growing ice. As a result, this trapping might lead to less CO2 in the air, which could then change temperatures around the world. Also, this process might mess up ocean life systems, because many living things depend on a careful mix of carbon dioxide for making food with sunlight and breathing. So, the effects of these changes could reach much further than just the nearby area, changing weather patterns and the variety of life around the world."
"One such cycle describes the way Earth's orbit gradually changes shape from a circle to a slight ellipse and back again roughly every 100,000 years.","These regular patterns, called Milankovitch cycles, explain how Earth's path around the sun slowly changes from almost a perfect circle to a more stretched-out shape like an oval and then back again about every 100,000 years. These cycles also help explain why Earth's weather patterns change over a very long time. Because of these changes in Earth's path, we see shifts between cold ice ages and warmer times in between. These shifts happen because they change how much sunlight warms Earth. Also, by looking at these space patterns, scientists can better understand what the weather was like a long time ago and guess what might happen in the future. This helps us learn more about how today's changes in weather might affect us."
"However, Edwards believes the small changes in solar heating produced by Milankovitch cycles are then amplified by feedback mechanisms on Earth.","Edwards is sure that the small changes in sunlight warmth caused by Milankovitch cycles end up having a bigger effect because of strong reaction systems in Earth's weather. For example, when there's a bit more sunlight, it can make less ice and snow. Because of this, Earth reflects less sunlight, which then makes it warmer. This extra warmth gets even worse when gases like carbon dioxide and methane come out from melting frozen ground and sea dirt. These gases make the warming effect stronger, leading to more warmth. So, a small change in sunlight can lead to big changes in weather through these reaction paths. This series of events really shows how sensitive Earth's weather is to small outside influences and how these can cause big changes in the world's weather and environment."
